Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
26,Tue,10/02/2026,19:30,Everton,Bournemouth,"51,793",Hill Dickinson Stadium,Andy Madley,Match Report,
26,Tue,10/02/2026,19:30,Chelsea,Leeds United,"39,253",Stamford Bridge,Robert Jones,Match Report,
26,Tue,10/02/2026,19:30,Tottenham Hotspur,Newcastle United,"59,773",Tottenham Hotspur Stadium,Anthony Taylor,Match Report,
26,Tue,10/02/2026,20:15,West Ham United,Manchester Utd,"62,473",London Stadium,Simon Hooper,Match Report,
26,Wed,11/02/2026,19:30,Nottingham Forest,Wolves,"29,921",The City Ground,Tim Robinson,Match Report,
26,Wed,11/02/2026,19:30,Manchester City,Fulham,"50,717",Etihad Stadium,Paul Tierney,Match Report,
26,Wed,11/02/2026,19:30,Aston Villa,Brighton,"39,495",Villa Park,Peter Bankes,Match Report,
26,Wed,11/02/2026,19:40,Crystal Palace,Burnley,"24,641",Selhurst Park,Farai Hallam,Match Report,
26,Wed,11/02/2026,20:15,Sunderland,Liverpool,"47,159",Stadium of Light,Chris Kavanagh,Match Report,
26,Thu,12/02/2026,20:00,Brentford,Arsenal,"17,224",Gtech Community Stadium,John Brooks,Match Report,
31,Wed,18/02/2026,20:00,Wolves,Arsenal,"29,843",Molineux Stadium,Paul Tierney,Match Report,
