Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
10,Sat,02/11/2024,12:30,Newcastle Utd,0.5,1–0,1.1,Arsenal,"52,249",St James' Park,John Brooks,Match Report,
10,Sat,02/11/2024,15:00,Southampton,0.7,1–0,1.6,Everton,"31,143",St Mary's Stadium,Andy Madley,Match Report,
10,Sat,02/11/2024,15:00,Liverpool,1.6,2–1,1,Brighton,"60,331",Anfield,Tony Harrington,Match Report,
10,Sat,02/11/2024,15:00,Nott'ham Forest,2.2,3–0,0.1,West Ham,"30,112",The City Ground,Peter Bankes,Match Report,
10,Sat,02/11/2024,15:00,Ipswich Town,1,1–1,1.5,Leicester City,"29,874",Portman Road Stadium,Tim Robinson,Match Report,
10,Sat,02/11/2024,15:00,Bournemouth,2,2–1,1.6,Manchester City,"11,231",Vitality Stadium,Michael Oliver,Match Report,
10,Sat,02/11/2024,17:30,Wolves,1.5,2–2,2.4,Crystal Palace,"31,124",Molineux Stadium,Anthony Taylor,Match Report,
10,Sun,03/11/2024,14:00,Tottenham,2.4,4–1,1.8,Aston Villa,"61,253",Tottenham Hotspur Stadium,Craig Pawson,Match Report,
10,Sun,03/11/2024,16:30,Manchester Utd,2,1–1,1.1,Chelsea,"73,813",Old Trafford,Robert Jones,Match Report,
10,Mon,04/11/2024,20:00,Fulham,1.3,2–1,0.6,Brentford,"24,931",Craven Cottage,Stuart Attwell,Match Report,
