Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
13,Fri,29/11/2024,20:00,Brighton,1.7,1–1,1,Southampton,"31,542",The American Express Stadium,Robert Jones,Match Report,
13,Sat,30/11/2024,15:00,Crystal Palace,1.7,1–1,0,Newcastle Utd,"25,101",Selhurst Park,Darren England,Match Report,
13,Sat,30/11/2024,15:00,Wolves,0.5,2–4,3.3,Bournemouth,"26,685",Molineux Stadium,Peter Bankes,Match Report,
13,Sat,30/11/2024,15:00,Nott'ham Forest,1.6,1–0,0.6,Ipswich Town,"30,237",The City Ground,Tony Harrington,Match Report,
13,Sat,30/11/2024,15:00,Brentford,2.4,4–1,1.1,Leicester City,"17,084",Gtech Community Stadium,Michael Oliver,Match Report,
13,Sat,30/11/2024,17:30,West Ham,1.5,2–5,3.5,Arsenal,"62,475",London Stadium,Anthony Taylor,Match Report,
13,Sun,01/12/2024,13:30,Chelsea,1.6,3–0,1.2,Aston Villa,"40,853",Stamford Bridge,Stuart Attwell,Match Report,
13,Sun,01/12/2024,13:30,Tottenham,0.8,1–1,1.5,Fulham,"61,141",Tottenham Hotspur Stadium,Darren Bond,Match Report,
13,Sun,01/12/2024,13:30,Manchester Utd,1.1,4–0,0.6,Everton,"73,817",Old Trafford,John Brooks,Match Report,
13,Sun,01/12/2024,16:00,Liverpool,3.4,2–0,0.8,Manchester City,"60,248",Anfield,Chris Kavanagh,Match Report,
