Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sat,21/12/2024,12:30,Aston Villa,1.6,2–1,1,Manchester City,"42,345",Villa Park,Peter Bankes,Match Report,
17,Sat,21/12/2024,15:00,West Ham,1.2,1–1,0.9,Brighton,,London Stadium,Robert Jones,Match Report,
17,Sat,21/12/2024,15:00,Brentford,0.7,0–2,0.9,Nott'ham Forest,"17,115",Gtech Community Stadium,Michael Oliver,Match Report,
17,Sat,21/12/2024,15:00,Ipswich Town,0.7,0–4,2.3,Newcastle Utd,"29,774",Portman Road Stadium,Stuart Attwell,Match Report,
17,Sat,21/12/2024,17:30,Crystal Palace,1.6,1–5,2.5,Arsenal,"25,167",Selhurst Park,Simon Hooper,Match Report,
17,Sun,22/12/2024,14:00,Manchester Utd,2.2,0–3,1.6,Bournemouth,"73,720",Old Trafford,Craig Pawson,Match Report,
17,Sun,22/12/2024,14:00,Fulham,0.9,0–0,0.3,Southampton,"26,819",Craven Cottage,Tim Robinson,Match Report,
17,Sun,22/12/2024,14:00,Everton,1,0–0,1.2,Chelsea,"39,358",Goodison Park,Chris Kavanagh,Match Report,
17,Sun,22/12/2024,14:00,Leicester City,0.8,0–3,1.1,Wolves,"31,818",King Power Stadium,Anthony Taylor,Match Report,
17,Sun,22/12/2024,16:30,Tottenham,1.3,3–6,5.6,Liverpool,"61,439",Tottenham Hotspur Stadium,Samuel Barrott,Match Report,
