Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sat,19/10/2024,12:30,Tottenham,1.9,4–1,0.8,West Ham,"61,381",Tottenham Hotspur Stadium,Andy Madley,Match Report,
8,Sat,19/10/2024,15:00,Southampton,2.1,2–3,3.1,Leicester City,"31,145",St Mary's Stadium,Anthony Taylor,Match Report,
8,Sat,19/10/2024,15:00,Ipswich Town,1.3,0–2,1.7,Everton,"29,862",Portman Road Stadium,Michael Oliver,Match Report,
8,Sat,19/10/2024,15:00,Newcastle Utd,2,0–1,1.1,Brighton,"52,220",St James' Park,Peter Bankes,Match Report,
8,Sat,19/10/2024,15:00,Fulham,1.8,1–3,1.6,Aston Villa,"26,743",Craven Cottage,Darren England,Match Report,
8,Sat,19/10/2024,15:00,Manchester Utd,1.3,2–1,0.9,Brentford,"73,738",Old Trafford,Samuel Barrott,Match Report,
8,Sat,19/10/2024,17:30,Bournemouth,1.8,2–0,0.7,Arsenal,"11,235",Vitality Stadium,Robert Jones,Match Report,
8,Sun,20/10/2024,14:00,Wolves,0.8,1–2,1.6,Manchester City,"31,319",Molineux Stadium,Chris Kavanagh,Match Report,
8,Sun,20/10/2024,16:30,Liverpool,1.9,2–1,1,Chelsea,"60,277",Anfield,John Brooks,Match Report,
8,Mon,21/10/2024,20:00,Nott'ham Forest,1.7,1–0,1,Crystal Palace,"29,443",The City Ground,Tim Robinson,Match Report,
