Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
21,Tue,14/01/2025,19:30,Brentford,2.5,2–2,2.2,Manchester City,"17,048",Gtech Community Stadium,Anthony Taylor,Match Report,
21,Tue,14/01/2025,19:30,West Ham,1,3–2,1.7,Fulham,"62,456",London Stadium,Craig Pawson,Match Report,
21,Tue,14/01/2025,19:30,Chelsea,2.5,2–2,1.2,Bournemouth,"39,092",Stamford Bridge,Robert Jones,Match Report,
21,Tue,14/01/2025,20:00,Nott'ham Forest,0.3,1–1,2,Liverpool,"30,249",The City Ground,Chris Kavanagh,Match Report,
21,Wed,15/01/2025,19:30,Everton,1.1,0–1,1.2,Aston Villa,"39,085",Goodison Park,Samuel Barrott,Match Report,
21,Wed,15/01/2025,19:30,Newcastle Utd,2.1,3–0,1.6,Wolves,"51,975",St James' Park,Darren England,Match Report,
21,Wed,15/01/2025,19:30,Leicester City,1.7,0–2,1.8,Crystal Palace,"29,766",King Power Stadium,Andy Madley,Match Report,
21,Wed,15/01/2025,20:00,Arsenal,1.4,2–1,0.8,Tottenham,"60,287",Emirates Stadium,Simon Hooper,Match Report,
21,Thu,16/01/2025,19:30,Ipswich Town,0.3,0–2,1,Brighton,"29,403",Portman Road Stadium,Tony Harrington,Match Report,
21,Thu,16/01/2025,20:00,Manchester Utd,3.4,3–1,1.4,Southampton,"73,722",Old Trafford,John Brooks,Match Report,
