Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
33,Sat,19/04/2025,15:00,Everton,0.9,0–2,2,Manchester City,"39,332",Goodison Park,Simon Hooper,Match Report,
33,Sat,19/04/2025,15:00,West Ham,0.9,1–1,0.6,Southampton,"62,461",London Stadium,Andrew Kitchen,Match Report,
33,Sat,19/04/2025,15:00,Crystal Palace,0.4,0–0,0.7,Bournemouth,"25,185",Selhurst Park,Samuel Barrott,Match Report,
33,Sat,19/04/2025,15:00,Brentford,2.1,4–2,1.4,Brighton,"17,083",Gtech Community Stadium,Tim Robinson,Match Report,
33,Sat,19/04/2025,17:30,Aston Villa,2.2,4–1,1,Newcastle Utd,"42,618",Villa Park,Jarred Gillett,Match Report,
33,Sun,20/04/2025,14:00,Fulham,0.3,1–2,0.9,Chelsea,"27,712",Craven Cottage,Anthony Taylor,Match Report,
33,Sun,20/04/2025,14:00,Ipswich Town,0.2,0–4,2.4,Arsenal,"29,549",Portman Road Stadium,Chris Kavanagh,Match Report,
33,Sun,20/04/2025,14:00,Manchester Utd,1.3,0–1,0.2,Wolves,"73,819",Old Trafford,Robert Jones,Match Report,
33,Sun,20/04/2025,16:30,Leicester City,0.3,0–1,2.5,Liverpool,"30,402",King Power Stadium,Stuart Attwell,Match Report,
33,Mon,21/04/2025,20:00,Tottenham,2.1,1–2,0.5,Nott'ham Forest,"59,314",Tottenham Hotspur Stadium,Peter Bankes,Match Report,
