Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,23/11/2024,12:30,Leicester City,Chelsea,"31,880",King Power Stadium,Andy Madley,Match Report,
12,Sat,23/11/2024,15:00,Arsenal,Nott'ham Forest,"60,298",Emirates Stadium,Simon Hooper,Match Report,
12,Sat,23/11/2024,15:00,Bournemouth,Brighton,"11,196",Vitality Stadium,Stuart Attwell,Match Report,
12,Sat,23/11/2024,15:00,Aston Villa,Crystal Palace,"42,175",Villa Park,Tim Robinson,Match Report,
12,Sat,23/11/2024,15:00,Everton,Brentford,"38,915",Goodison Park,Chris Kavanagh,Match Report,
12,Sat,23/11/2024,15:00,Fulham,Wolves,"26,685",Craven Cottage,Robert Jones,Match Report,
12,Sat,23/11/2024,17:30,Manchester City,Tottenham,"52,478",Etihad Stadium,John Brooks,Match Report,
12,Sun,24/11/2024,14:00,Southampton,Liverpool,"31,278",St Mary's Stadium,Samuel Barrott,Match Report,
12,Sun,24/11/2024,16:30,Ipswich Town,Manchester Utd,"30,017",Portman Road Stadium,Anthony Taylor,Match Report,
12,Mon,25/11/2024,20:00,Newcastle Utd,West Ham,"52,094",St James' Park,Craig Pawson,Match Report,
