Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
36,Sat,10/05/2025,15:00,Ipswich Town,0.9,0–1,1.4,Brentford,"29,511",Portman Road Stadium,Samuel Barrott,Match Report,
36,Sat,10/05/2025,15:00,Fulham,0.8,1–3,1.1,Everton,"27,653",Craven Cottage,Darren England,Match Report,
36,Sat,10/05/2025,15:00,Wolves,0.9,0–2,1.6,Brighton,"31,279",Molineux Stadium,Michael Oliver,Match Report,
36,Sat,10/05/2025,15:00,Southampton,0.1,0–0,1.7,Manchester City,"30,937",St Mary's Stadium,Tim Robinson,Match Report,
36,Sat,10/05/2025,17:30,Bournemouth,0.8,0–1,1,Aston Villa,"11,187",Vitality Stadium,Stuart Attwell,Match Report,
36,Sun,11/05/2025,12:00,Newcastle Utd,1.6,2–0,0.7,Chelsea,"52,231",St James' Park,John Brooks,Match Report,
36,Sun,11/05/2025,14:15,Nott'ham Forest,1.3,2–2,1.1,Leicester City,"30,245",The City Ground,Tony Harrington,Match Report,
36,Sun,11/05/2025,14:15,Tottenham,0.7,0–2,3.4,Crystal Palace,"60,254",Tottenham Hotspur Stadium,Chris Kavanagh,Match Report,
36,Sun,11/05/2025,14:15,Manchester Utd,2.1,0–2,1.7,West Ham,"73,804",Old Trafford,Jarred Gillett,Match Report,
36,Sun,11/05/2025,16:30,Liverpool,2.4,2–2,2.6,Arsenal,"60,324",Anfield,Anthony Taylor,Match Report,
