Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
25,Fri,14/02/2025,20:00,Brighton,1.4,3–0,0.5,Chelsea,"31,324",The American Express Stadium,Chris Kavanagh,Match Report,
25,Sat,15/02/2025,12:30,Leicester City,0.2,0–2,1.4,Arsenal,"31,968",King Power Stadium,Samuel Barrott,Match Report,
25,Sat,15/02/2025,15:00,Aston Villa,2.4,1–1,0.4,Ipswich Town,"42,510",Villa Park,Robert Jones,Match Report,
25,Sat,15/02/2025,15:00,Fulham,2.1,2–1,0.4,Nott'ham Forest,"27,164",Craven Cottage,Thomas Bramall,Match Report,
25,Sat,15/02/2025,15:00,West Ham,0.8,0–1,1.6,Brentford,"62,415",London Stadium,Darren England,Match Report,
25,Sat,15/02/2025,15:00,Manchester City,1.9,4–0,0.5,Newcastle Utd,"52,479",Etihad Stadium,Andy Madley,Match Report,
25,Sat,15/02/2025,15:00,Southampton,0.8,1–3,1.2,Bournemouth,"31,037",St Mary's Stadium,Jarred Gillett,Match Report,
25,Sat,15/02/2025,17:30,Crystal Palace,1.6,1–2,0.9,Everton,"25,108",Selhurst Park,Anthony Taylor,Match Report,
25,Sun,16/02/2025,14:00,Liverpool,1.7,2–1,1.5,Wolves,"60,248",Anfield,Simon Hooper,Match Report,
25,Sun,16/02/2025,16:30,Tottenham,2.2,1–0,1.5,Manchester Utd,"61,383",Tottenham Hotspur Stadium,Peter Bankes,Match Report,
29,Wed,19/02/2025,19:30,Aston Villa,0.6,2–2,2.5,Liverpool,"41,910",Villa Park,Craig Pawson,Match Report,
