Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
35,Fri,02/05/2025,20:00,Manchester City,0.7,1–0,0.4,Wolves,"53,282",Etihad Stadium,Peter Bankes,Match Report,
35,Sat,03/05/2025,12:30,Aston Villa,1,1–0,0.9,Fulham,"42,515",Villa Park,Robert Jones,Match Report,
35,Sat,03/05/2025,15:00,Leicester City,1.4,2–0,0.5,Southampton,"31,240",King Power Stadium,David Webb,Match Report,
35,Sat,03/05/2025,15:00,Everton,0.6,2–2,0.8,Ipswich Town,"39,305",Goodison Park,Lewis Smith,Match Report,
35,Sat,03/05/2025,17:30,Arsenal,1.4,1–2,0.9,Bournemouth,"60,110",Emirates Stadium,Jarred Gillett,Match Report,
35,Sun,04/05/2025,14:00,Brighton,0.7,1–1,1.7,Newcastle Utd,"31,580",The American Express Stadium,Craig Pawson,Match Report,
35,Sun,04/05/2025,14:00,West Ham,0.8,1–1,0.8,Tottenham,"62,468",London Stadium,Michael Oliver,Match Report,
35,Sun,04/05/2025,14:00,Brentford,2.8,4–3,1.5,Manchester Utd,"18,915",Gtech Community Stadium,Anthony Taylor,Match Report,
35,Sun,04/05/2025,16:30,Chelsea,3.1,3–1,1,Liverpool,"39,829",Stamford Bridge,Simon Hooper,Match Report,
35,Mon,05/05/2025,20:00,Crystal Palace,2.3,1–1,0.7,Nott'ham Forest,"25,096",Selhurst Park,Andy Madley,Match Report,
