Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2021,15:00,Matchweek 1,Sat,Away,W,2,1,Burnley,2,14,6,42.9,0.14,0.33,14.9,1,0,0,1,1,0.08,1,1,Match Report
21/08/2021,17:30,Matchweek 2,Sat,Home,W,2,0,Watford,2,13,3,23.1,0.15,0.67,16.9,0,0,0,1.3,1.3,0.1,0.7,0.7,Match Report
28/08/2021,15:00,Matchweek 3,Sat,Home,L,0,2,Everton,0,14,3,21.4,0,0,22.3,2,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report
11/09/2021,15:00,Matchweek 4,Sat,Away,W,1,0,Brentford,1,4,2,50,0.25,0.5,19,0,0,0,0.3,0.3,0.07,0.7,0.7,Match Report
19/09/2021,14:00,Matchweek 5,Sun,Home,W,2,1,Leicester City,2,11,4,36.4,0.09,0.25,16.9,2,1,1,1.7,0.9,0.08,0.3,0.1,Match Report
27/09/2021,20:00,Matchweek 6,Mon,Away,D,1,1,Crystal Palace,1,8,4,50,0.13,0.25,15.8,0,0,0,0.8,0.8,0.09,0.2,0.2,Match Report
02/10/2021,17:30,Matchweek 7,Sat,Home,D,0,0,Arsenal,0,21,2,9.5,0,0,17.7,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Match Report
16/10/2021,15:00,Matchweek 8,Sat,Away,D,0,0,Norwich City,0,11,3,27.3,0,0,16.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Match Report
23/10/2021,17:30,Matchweek 9,Sat,Home,L,1,4,Manchester City,1,9,4,44.4,0,0,18.9,0,1,1,1.3,0.5,0.06,-0.3,-0.5,Match Report
30/10/2021,15:00,Matchweek 10,Sat,Away,D,2,2,Liverpool,2,9,6,66.7,0.22,0.33,17,0,0,0,1,1,0.11,1,1,Match Report
06/11/2021,17:30,Matchweek 11,Sat,Home,D,1,1,Newcastle Utd,1,13,4,30.8,0,0,17.9,0,1,1,1.5,0.7,0.05,-0.5,-0.7,Match Report
20/11/2021,15:00,Matchweek 12,Sat,Away,L,0,2,Aston Villa,0,6,2,33.3,0,0,17.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Match Report
27/11/2021,17:30,Matchweek 13,Sat,Home,D,0,0,Leeds United,0,20,4,20,0,0,16.6,0,0,0,2.1,2.1,0.11,-2.1,-2.1,Match Report
01/12/2021,19:30,Matchweek 14,Wed,Away,D,1,1,West Ham,1,9,3,33.3,0.11,0.33,16,1,0,0,1.3,1.3,0.15,-0.3,-0.3,Match Report
04/12/2021,15:00,Matchweek 15,Sat,Away,D,1,1,Southampton,1,14,4,28.6,0.07,0.25,18.7,1,0,0,1.6,1.6,0.12,-0.6,-0.6,Match Report
For Brighton & Hove Albion,,,,,,,,,Standard,,,,,,,,,,Expected,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
15/12/2021,19:30,Matchweek 17,Wed,Home,L,0,1,Wolves,0,12,2,16.7,0,0,17.8,2,0,0,1.2,1.2,0.12,-1.2,-1.2,Match Report
26/12/2021,20:00,Matchweek 19,Sun,Home,W,2,0,Brentford,2,15,5,33.3,0.13,0.4,21.7,3,0,0,0.8,0.8,0.05,1.2,1.2,Match Report
29/12/2021,19:30,Matchweek 20,Wed,Away,D,1,1,Chelsea,1,18,6,33.3,0.06,0.17,20.2,1,0,0,0.9,0.9,0.05,0.1,0.1,Match Report
02/01/2022,14:00,Matchweek 21,Sun,Away,W,3,2,Everton,3,12,5,41.7,0.25,0.6,19.1,0,0,0,1.7,1.7,0.14,1.3,1.3,Match Report
14/01/2022,20:00,Matchweek 22,Fri,Home,D,1,1,Crystal Palace,0,18,3,16.7,0,0,18.2,0,0,1,2,1.2,0.06,-2,-1.2,Match Report
18/01/2022,20:00,Matchweek 24,Tue,Home,D,1,1,Chelsea,1,10,2,20,0.1,0.5,16.2,0,0,0,0.7,0.7,0.07,0.3,0.3,Match Report
23/01/2022,14:00,Matchweek 23,Sun,Away,D,1,1,Leicester City,1,14,4,28.6,0.07,0.25,17.9,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Match Report
12/02/2022,15:00,Matchweek 25,Sat,Away,W,2,0,Watford,2,11,5,45.5,0.18,0.4,12.3,0,0,0,1.6,1.6,0.17,0.4,0.4,Match Report
15/02/2022,20:15,Matchweek 18,Tue,Away,L,0,2,Manchester Utd,0,10,3,30,0,0,18.9,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
19/02/2022,15:00,Matchweek 26,Sat,Home,L,0,3,Burnley,0,11,1,9.1,0,0,19.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Match Report
26/02/2022,15:00,Matchweek 27,Sat,Home,L,0,2,Aston Villa,0,12,1,8.3,0,0,19.4,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Match Report
05/03/2022,15:00,Matchweek 28,Sat,Away,L,1,2,Newcastle Utd,1,15,4,26.7,0.07,0.25,14.2,0,0,0,1.5,1.5,0.1,-0.5,-0.5,Match Report
12/03/2022,12:30,Matchweek 29,Sat,Home,L,0,2,Liverpool,0,8,3,37.5,0,0,18.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
16/03/2022,19:30,Matchweek 16,Wed,Home,L,0,2,Tottenham,0,15,0,0,0,,18.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Match Report
02/04/2022,15:00,Matchweek 31,Sat,Home,D,0,0,Norwich City,0,30,4,13.3,0,0,18.7,1,0,1,2.8,2,0.07,-2.8,-2,Match Report
For Brighton & Hove Albion,,,,,,,,,Standard,,,,,,,,,,Expected,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
09/04/2022,15:00,Matchweek 32,Sat,Away,W,2,1,Arsenal,2,8,3,37.5,0.25,0.67,23.1,0,0,0,0.6,0.6,0.07,1.4,1.4,Match Report
16/04/2022,12:30,Matchweek 33,Sat,Away,W,1,0,Tottenham,1,12,4,33.3,0.08,0.25,17,0,0,0,0.6,0.6,0.05,0.4,0.4,Match Report
20/04/2022,20:00,Matchweek 30,Wed,Away,L,0,3,Manchester City,0,2,1,50,0,0,19,1,0,0,0.2,0.2,0.08,-0.2,-0.2,Match Report
24/04/2022,14:00,Matchweek 34,Sun,Home,D,2,2,Southampton,1,8,5,62.5,0.13,0.2,11.4,0,0,0,1.7,1.7,0.23,-0.7,-0.7,Match Report
30/04/2022,15:00,Matchweek 35,Sat,Away,W,3,0,Wolves,3,15,8,53.3,0.13,0.25,21.4,0,1,2,2.6,1.1,0.07,0.4,0.9,Match Report
07/05/2022,17:30,Matchweek 36,Sat,Home,W,4,0,Manchester Utd,4,17,5,29.4,0.24,0.8,15.9,0,0,0,2.3,2.3,0.15,1.7,1.7,Match Report
15/05/2022,14:00,Matchweek 37,Sun,Away,D,1,1,Leeds United,1,15,6,40,0.07,0.17,14.3,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Match Report
22/05/2022,16:00,Matchweek 38,Sun,Home,W,3,1,West Ham,3,18,7,38.9,0.17,0.43,16.4,0,0,0,1.6,1.6,0.09,1.4,1.4,Match Report
