Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
12/08/2023,17:30,Matchweek 1,Sat,Away,L,1,5,Newcastle Utd,1,16,6,37.5,0.06,0.17,14.5,1,0,0,1.8,1.8,0.12,-0.8,-0.8,Match Report
20/08/2023,14:00,Matchweek 2,Sun,Home,W,4,0,Everton,4,12,6,50,0.25,0.5,18.5,0,1,1,2.9,2.2,0.18,1.1,0.8,Match Report
27/08/2023,14:00,Matchweek 3,Sun,Away,W,3,1,Burnley,3,16,6,37.5,0.19,0.5,13.4,0,0,0,2.5,2.5,0.17,0.5,0.5,Match Report
03/09/2023,14:00,Matchweek 4,Sun,Away,L,0,3,Liverpool,0,9,3,33.3,0,0,12.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Match Report
16/09/2023,15:00,Matchweek 5,Sat,Home,W,3,1,Crystal Palace,3,15,4,26.7,0.13,0.5,16.2,0,1,1,3,2.3,0.16,0,-0.3,Match Report
24/09/2023,14:00,Matchweek 6,Sun,Away,W,1,0,Chelsea,1,15,7,46.7,0.07,0.14,18.2,1,0,0,1,1,0.07,0,0,Match Report
30/09/2023,12:30,Matchweek 7,Sat,Home,W,6,1,Brighton,5,19,9,47.4,0.26,0.56,17.9,1,0,0,1.6,1.6,0.09,3.4,3.4,Match Report
08/10/2023,14:00,Matchweek 8,Sun,Away,D,1,1,Wolves,1,18,4,22.2,0.06,0.25,16.6,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Match Report
22/10/2023,16:30,Matchweek 9,Sun,Home,W,4,1,West Ham,4,14,6,42.9,0.21,0.5,19.6,0,1,1,1.9,1.1,0.08,2.1,1.9,Match Report
29/10/2023,14:00,Matchweek 10,Sun,Home,W,3,1,Luton Town,2,17,6,35.3,0.12,0.33,14.5,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Match Report
05/11/2023,14:00,Matchweek 11,Sun,Away,L,0,2,Nott'ham Forest,0,13,3,23.1,0,0,14,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Match Report
12/11/2023,14:00,Matchweek 12,Sun,Home,W,3,1,Fulham,2,12,6,50,0.17,0.33,13.5,0,0,0,3,3,0.26,-1,-1,Match Report
26/11/2023,14:00,Matchweek 13,Sun,Away,W,2,1,Tottenham,2,15,5,33.3,0.13,0.4,16.6,1,0,0,1.7,1.7,0.12,0.3,0.3,Match Report
03/12/2023,14:00,Matchweek 14,Sun,Away,D,2,2,Bournemouth,2,11,3,27.3,0.18,0.67,19.2,1,0,0,0.7,0.7,0.06,1.3,1.3,Match Report
06/12/2023,20:15,Matchweek 15,Wed,Home,W,1,0,Manchester City,1,22,7,31.8,0.05,0.14,18.9,0,0,0,2.3,2.3,0.11,-1.3,-1.3,Match Report
09/12/2023,17:30,Matchweek 16,Sat,Home,W,1,0,Arsenal,1,10,3,30,0.1,0.33,20.8,1,0,0,0.6,0.6,0.06,0.4,0.4,Match Report
17/12/2023,14:00,Matchweek 17,Sun,Away,W,2,1,Brentford,2,15,5,33.3,0.13,0.4,16.7,0,0,0,1.4,1.4,0.09,0.6,0.6,Match Report
22/12/2023,20:00,Matchweek 18,Fri,Home,D,1,1,Sheffield Utd,1,12,4,33.3,0.08,0.25,17.5,0,0,0,0.9,0.9,0.07,0.1,0.1,Match Report
26/12/2023,20:00,Matchweek 19,Tue,Away,L,2,3,Manchester Utd,2,10,3,30,0.2,0.67,14.6,1,0,0,1.7,1.7,0.17,0.3,0.3,Match Report
30/12/2023,15:00,Matchweek 20,Sat,Home,W,3,2,Burnley,3,18,6,33.3,0.11,0.33,16.9,1,1,1,3.2,2.4,0.14,-0.2,-0.4,Match Report
14/01/2024,14:00,Matchweek 21,Sun,Away,D,0,0,Everton,0,16,4,25,0,0,14.2,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Match Report
30/01/2024,20:15,Matchweek 22,Tue,Home,L,1,3,Newcastle Utd,1,12,5,41.7,0.08,0.2,14.3,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Match Report
03/02/2024,17:30,Matchweek 23,Sat,Away,W,5,0,Sheffield Utd,5,14,9,64.3,0.36,0.56,15.8,1,0,0,2.2,2.2,0.18,2.8,2.8,Match Report
11/02/2024,16:30,Matchweek 24,Sun,Home,L,1,2,Manchester Utd,1,23,9,39.1,0.04,0.11,16.7,1,0,0,2.4,2.4,0.11,-1.4,-1.4,Match Report
17/02/2024,15:00,Matchweek 25,Sat,Away,W,2,1,Fulham,2,12,3,25,0.17,0.67,16.8,1,0,0,1.5,1.5,0.13,0.5,0.5,Match Report
24/02/2024,15:00,Matchweek 26,Sat,Home,W,4,2,Nott'ham Forest,4,16,6,37.5,0.25,0.67,14.3,2,0,0,3.6,3.6,0.23,0.4,0.4,Match Report
02/03/2024,17:30,Matchweek 27,Sat,Away,W,3,2,Luton Town,3,12,8,66.7,0.25,0.38,12.5,0,0,0,1.9,1.9,0.16,1.1,1.1,Match Report
10/03/2024,13:00,Matchweek 28,Sun,Home,L,0,4,Tottenham,0,10,1,10,0,0,14.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Match Report
17/03/2024,14:00,Matchweek 29,Sun,Away,D,1,1,West Ham,1,13,5,38.5,0.08,0.2,20.6,0,0,0,0.7,0.7,0.05,0.3,0.3,Match Report
30/03/2024,17:30,Matchweek 30,Sat,Home,W,2,0,Wolves,2,11,5,45.5,0.18,0.4,14.7,0,0,0,1,1,0.09,1,1,Match Report
03/04/2024,20:15,Matchweek 31,Wed,Away,L,1,4,Manchester City,1,8,3,37.5,0.13,0.33,12.4,0,0,0,0.8,0.8,0.1,0.2,0.2,Match Report
06/04/2024,15:00,Matchweek 32,Sat,Home,D,3,3,Brentford,3,11,3,27.3,0.27,1,12.1,1,0,0,1.5,1.5,0.14,1.5,1.5,Match Report
14/04/2024,16:30,Matchweek 33,Sun,Away,W,2,0,Arsenal,2,11,2,18.2,0.18,1,18.8,1,0,0,0.9,0.9,0.09,1.1,1.1,Match Report
21/04/2024,15:00,Matchweek 34,Sun,Home,W,3,1,Bournemouth,3,15,5,33.3,0.2,0.6,14.8,0,0,0,2.4,2.4,0.17,0.6,0.6,Match Report
27/04/2024,20:00,Matchweek 35,Sat,Home,D,2,2,Chelsea,1,9,4,44.4,0.11,0.25,15,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Match Report
