Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
14/08/2023,20:00,Matchweek 1,Mon,Home,W,1,0,Wolves,1,15,2,13.3,0.07,0.5,14.7,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Match Report
19/08/2023,17:30,Matchweek 2,Sat,Away,L,0,2,Tottenham,0,22,6,27.3,0,0,15.6,1,0,0,2.1,2.1,0.09,-2.1,-2.1,Match Report
26/08/2023,15:00,Matchweek 3,Sat,Home,W,3,2,Nott'ham Forest,3,17,8,47.1,0.12,0.25,20.3,0,1,1,2.8,2,0.12,0.2,0,Match Report
03/09/2023,16:30,Matchweek 4,Sun,Away,L,1,3,Arsenal,1,10,2,20,0.1,0.5,16.5,0,0,0,0.9,0.9,0.09,0.1,0.1,Match Report
16/09/2023,15:00,Matchweek 5,Sat,Home,L,1,3,Brighton,1,14,4,28.6,0.07,0.25,18.6,1,0,0,1,1,0.07,0,0,Match Report
23/09/2023,20:00,Matchweek 6,Sat,Away,W,1,0,Burnley,1,11,4,36.4,0.09,0.25,15,0,0,0,1,1,0.09,0,0,Match Report
30/09/2023,15:00,Matchweek 7,Sat,Home,L,0,1,Crystal Palace,0,19,3,15.8,0,0,15.5,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Match Report
07/10/2023,15:00,Matchweek 8,Sat,Home,W,2,1,Brentford,2,21,8,38.1,0.1,0.25,18.3,1,0,0,1.4,1.4,0.07,0.6,0.6,Match Report
21/10/2023,20:00,Matchweek 9,Sat,Away,W,2,1,Sheffield Utd,2,14,5,35.7,0.14,0.4,20.6,1,0,0,1.1,1.1,0.08,0.9,0.9,Match Report
29/10/2023,15:30,Matchweek 10,Sun,Home,L,0,3,Manchester City,0,7,3,42.9,0,0,15.2,0,0,0,0.9,0.9,0.14,-0.9,-0.9,Match Report
04/11/2023,12:30,Matchweek 11,Sat,Away,W,1,0,Fulham,1,12,5,41.7,0.08,0.2,18.3,1,0,0,0.7,0.7,0.06,0.3,0.3,Match Report
11/11/2023,15:00,Matchweek 12,Sat,Home,W,1,0,Luton Town,1,15,4,26.7,0.07,0.25,14,1,0,0,2.2,2.2,0.15,-1.2,-1.2,Match Report
26/11/2023,16:30,Matchweek 13,Sun,Away,W,3,0,Everton,3,8,3,37.5,0.25,0.67,17.4,0,1,1,2.2,1.4,0.18,0.8,0.6,Match Report
02/12/2023,20:00,Matchweek 14,Sat,Away,L,0,1,Newcastle Utd,0,8,1,12.5,0,0,18.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Match Report
06/12/2023,20:15,Matchweek 15,Wed,Home,W,2,1,Chelsea,2,27,8,29.6,0.07,0.25,15.4,1,0,1,4.1,3.3,0.13,-2.1,-1.3,Match Report
09/12/2023,15:00,Matchweek 16,Sat,Home,L,0,3,Bournemouth,0,20,3,15,0,0,15.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Match Report
17/12/2023,16:30,Matchweek 17,Sun,Away,D,0,0,Liverpool,0,6,1,16.7,0,0,16.3,0,0,0,0.8,0.8,0.14,-0.8,-0.8,Match Report
23/12/2023,12:30,Matchweek 18,Sat,Away,L,0,2,West Ham,0,11,3,27.3,0,0,18.1,0,0,0,1,1,0.09,-1,-1,Match Report
26/12/2023,20:00,Matchweek 19,Tue,Home,W,3,2,Aston Villa,3,13,7,53.8,0.23,0.43,18,1,0,0,1.1,1.1,0.09,1.9,1.9,Match Report
30/12/2023,17:30,Matchweek 20,Sat,Away,L,1,2,Nott'ham Forest,1,10,5,50,0.1,0.2,17.5,0,0,0,0.8,0.8,0.08,0.2,0.2,Match Report
14/01/2024,16:30,Matchweek 21,Sun,Home,D,2,2,Tottenham,2,9,2,22.2,0.22,1,14.5,1,0,0,0.8,0.8,0.08,1.2,1.2,Match Report
01/02/2024,20:15,Matchweek 22,Thu,Away,W,4,3,Wolves,4,21,8,38.1,0.19,0.5,18.2,2,0,0,3.3,3.3,0.16,0.7,0.7,Match Report
04/02/2024,14:00,Matchweek 23,Sun,Home,W,3,0,West Ham,3,12,5,41.7,0.25,0.6,20.4,0,0,0,0.7,0.7,0.06,2.3,2.3,Match Report
11/02/2024,16:30,Matchweek 24,Sun,Away,W,2,1,Aston Villa,2,17,5,29.4,0.12,0.4,14.6,0,0,0,1.8,1.8,0.11,0.2,0.2,Match Report
18/02/2024,16:30,Matchweek 25,Sun,Away,W,2,1,Luton Town,2,21,8,38.1,0.1,0.25,19.8,2,0,0,2.9,2.9,0.14,-0.9,-0.9,Match Report
24/02/2024,15:00,Matchweek 26,Sat,Home,L,1,2,Fulham,1,21,8,38.1,0.05,0.13,17.3,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Match Report
03/03/2024,15:30,Matchweek 27,Sun,Away,L,1,3,Manchester City,1,3,1,33.3,0.33,1,16.7,0,0,0,0.2,0.2,0.08,0.8,0.8,Match Report
