Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sat,28/09/2024,12:30,Newcastle Utd,Manchester City,"52,248",St James' Park,Jarred Gillett,Match Report,
6,Sat,28/09/2024,15:00,Chelsea,Brighton,"39,495",Stamford Bridge,Peter Bankes,Match Report,
6,Sat,28/09/2024,15:00,Arsenal,Leicester City,"60,323",Emirates Stadium,Samuel Barrott,Match Report,
6,Sat,28/09/2024,15:00,Brentford,West Ham,"17,050",Gtech Community Stadium,Simon Hooper,Match Report,
6,Sat,28/09/2024,15:00,Everton,Crystal Palace,"38,954",Goodison Park,Andy Madley,Match Report,
6,Sat,28/09/2024,15:00,Nott'ham Forest,Fulham,"30,139",The City Ground,Joshua Smith,Match Report,
6,Sat,28/09/2024,17:30,Wolves,Liverpool,"31,413",Molineux Stadium,Anthony Taylor,Match Report,
6,Sun,29/09/2024,14:00,Ipswich Town,Aston Villa,"29,943",Portman Road Stadium,Stuart Attwell,Match Report,
6,Sun,29/09/2024,16:30,Manchester Utd,Tottenham,"73,587",Old Trafford,Chris Kavanagh,Match Report,
6,Mon,30/09/2024,20:00,Bournemouth,Southampton,"11,243",Vitality Stadium,Michael Oliver,Match Report,
