Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
2,Sat,24/08/2024,12:30,Brighton,Manchester Utd,"31,537",The American Express Stadium,Craig Pawson,Match Report,
2,Sat,24/08/2024,15:00,Tottenham,Everton,"61,357",Tottenham Hotspur Stadium,Anthony Taylor,Match Report,
2,Sat,24/08/2024,15:00,Fulham,Leicester City,"25,401",Craven Cottage,Darren Bond,Match Report,
2,Sat,24/08/2024,15:00,Crystal Palace,West Ham,"25,099",Selhurst Park,Robert Jones,Match Report,
2,Sat,24/08/2024,15:00,Manchester City,Ipswich Town,"53,147",Etihad Stadium,Samuel Allison,Match Report,
2,Sat,24/08/2024,15:00,Southampton,Nott'ham Forest,"31,150",St Mary's Stadium,Samuel Barrott,Match Report,
2,Sat,24/08/2024,17:30,Aston Villa,Arsenal,"41,587",Villa Park,Michael Oliver,Match Report,
2,Sun,25/08/2024,14:00,Bournemouth,Newcastle Utd,"11,161",Vitality Stadium,David Coote,Match Report,
2,Sun,25/08/2024,14:00,Wolves,Chelsea,"31,235",Molineux Stadium,Darren England,Match Report,
2,Sun,25/08/2024,16:30,Liverpool,Brentford,"60,017",Anfield,Stuart Attwell,Match Report,
