Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
31,Sat,05/04/2025,12:30,Everton,Arsenal,"39,316",Goodison Park,Darren England,Match Report,
31,Sat,05/04/2025,15:00,Crystal Palace,Brighton,"24,564",Selhurst Park,Anthony Taylor,Match Report,
31,Sat,05/04/2025,15:00,Ipswich Town,Wolves,"29,549",Portman Road Stadium,Peter Bankes,Match Report,
31,Sat,05/04/2025,15:00,West Ham,Bournemouth,,London Stadium,Tim Robinson,Match Report,
31,Sat,05/04/2025,17:30,Aston Villa,Nott'ham Forest,"42,743",Villa Park,Simon Hooper,Match Report,
31,Sun,06/04/2025,14:00,Fulham,Liverpool,"27,770",Craven Cottage,Chris Kavanagh,Match Report,
31,Sun,06/04/2025,14:00,Brentford,Chelsea,"17,183",Gtech Community Stadium,Michael Oliver,Match Report,
31,Sun,06/04/2025,14:00,Tottenham,Southampton,"60,984",Tottenham Hotspur Stadium,Michael Salisbury,Match Report,
31,Sun,06/04/2025,16:30,Manchester Utd,Manchester City,"73,738",Old Trafford,John Brooks,Match Report,
31,Mon,07/04/2025,20:00,Leicester City,Newcastle Utd,,King Power Stadium,Robert Jones,Match Report,
