Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
25,Fri,14/02/2025,20:00,Brighton,Chelsea,"31,324",The American Express Stadium,Chris Kavanagh,Match Report,
25,Sat,15/02/2025,12:30,Leicester City,Arsenal,"31,968",King Power Stadium,Samuel Barrott,Match Report,
25,Sat,15/02/2025,15:00,Aston Villa,Ipswich Town,"42,510",Villa Park,Robert Jones,Match Report,
25,Sat,15/02/2025,15:00,Fulham,Nott'ham Forest,"27,164",Craven Cottage,Thomas Bramall,Match Report,
25,Sat,15/02/2025,15:00,West Ham,Brentford,"62,415",London Stadium,Darren England,Match Report,
25,Sat,15/02/2025,15:00,Manchester City,Newcastle Utd,"52,479",Etihad Stadium,Andy Madley,Match Report,
25,Sat,15/02/2025,15:00,Southampton,Bournemouth,"31,037",St Mary's Stadium,Jarred Gillett,Match Report,
25,Sat,15/02/2025,17:30,Crystal Palace,Everton,"25,108",Selhurst Park,Anthony Taylor,Match Report,
25,Sun,16/02/2025,14:00,Liverpool,Wolves,"60,248",Anfield,Simon Hooper,Match Report,
25,Sun,16/02/2025,16:30,Tottenham,Manchester Utd,"61,383",Tottenham Hotspur Stadium,Peter Bankes,Match Report,
29,Wed,19/02/2025,19:30,Aston Villa,Liverpool,"41,910",Villa Park,Craig Pawson,Match Report,
