Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
13,Fri,29/11/2024,20:00,Brighton,Southampton,"31,542",The American Express Stadium,Robert Jones,Match Report,
13,Sat,30/11/2024,15:00,Crystal Palace,Newcastle Utd,"25,101",Selhurst Park,Darren England,Match Report,
13,Sat,30/11/2024,15:00,Wolves,Bournemouth,"26,685",Molineux Stadium,Peter Bankes,Match Report,
13,Sat,30/11/2024,15:00,Nott'ham Forest,Ipswich Town,"30,237",The City Ground,Tony Harrington,Match Report,
13,Sat,30/11/2024,15:00,Brentford,Leicester City,"17,084",Gtech Community Stadium,Michael Oliver,Match Report,
13,Sat,30/11/2024,17:30,West Ham,Arsenal,"62,475",London Stadium,Anthony Taylor,Match Report,
13,Sun,01/12/2024,13:30,Chelsea,Aston Villa,"40,853",Stamford Bridge,Stuart Attwell,Match Report,
13,Sun,01/12/2024,13:30,Tottenham,Fulham,"61,141",Tottenham Hotspur Stadium,Darren Bond,Match Report,
13,Sun,01/12/2024,13:30,Manchester Utd,Everton,"73,817",Old Trafford,John Brooks,Match Report,
13,Sun,01/12/2024,16:00,Liverpool,Manchester City,"60,248",Anfield,Chris Kavanagh,Match Report,
