Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,21/09/2024,12:30,West Ham,Chelsea,"62,473",London Stadium,Samuel Barrott,Match Report,
5,Sat,21/09/2024,15:00,Liverpool,Bournemouth,"60,347",Anfield,Tony Harrington,Match Report,
5,Sat,21/09/2024,15:00,Leicester City,Everton,"31,765",King Power Stadium,Darren England,Match Report,
5,Sat,21/09/2024,15:00,Southampton,Ipswich Town,"31,117",St Mary's Stadium,Samuel Allison,Match Report,
5,Sat,21/09/2024,15:00,Tottenham,Brentford,"61,246",Tottenham Hotspur Stadium,John Brooks,Match Report,
5,Sat,21/09/2024,15:00,Fulham,Newcastle Utd,"25,700",Craven Cottage,Peter Bankes,Match Report,
5,Sat,21/09/2024,15:00,Aston Villa,Wolves,"39,978",Villa Park,Tim Robinson,Match Report,
5,Sat,21/09/2024,17:30,Crystal Palace,Manchester Utd,"25,172",Selhurst Park,David Coote,Match Report,
5,Sun,22/09/2024,14:00,Brighton,Nott'ham Forest,"31,444",The American Express Stadium,Robert Jones,Match Report,
5,Sun,22/09/2024,16:30,Manchester City,Arsenal,"52,846",Etihad Stadium,Michael Oliver,Match Report,
