Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
27,Tue,25/02/2025,19:30,Crystal Palace,Aston Villa,"24,712",Selhurst Park,Samuel Barrott,Match Report,
27,Tue,25/02/2025,19:30,Wolves,Fulham,"28,708",Molineux Stadium,Peter Bankes,Match Report,
27,Tue,25/02/2025,19:30,Brighton,Bournemouth,"31,138",The American Express Stadium,Michael Oliver,Match Report,
27,Tue,25/02/2025,20:15,Chelsea,Southampton,"39,485",Stamford Bridge,Thomas Bramall,Match Report,
27,Wed,26/02/2025,19:30,Brentford,Everton,"17,082",Gtech Community Stadium,Simon Hooper,Match Report,
27,Wed,26/02/2025,19:30,Tottenham,Manchester City,"60,820",Tottenham Hotspur Stadium,Jarred Gillett,Match Report,
27,Wed,26/02/2025,19:30,Manchester Utd,Ipswich Town,"73,827",Old Trafford,Darren England,Match Report,
27,Wed,26/02/2025,19:30,Nott'ham Forest,Arsenal,"30,200",The City Ground,Andy Madley,Match Report,
27,Wed,26/02/2025,20:15,Liverpool,Newcastle Utd,"60,374",Anfield,Stuart Attwell,Match Report,
27,Thu,27/02/2025,20:00,West Ham,Leicester City,"62,455",London Stadium,Anthony Taylor,Match Report,
