Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sat,14/12/2024,15:00,Newcastle Utd,Leicester City,"52,235",St James' Park,Thomas Bramall,Match Report,
16,Sat,14/12/2024,15:00,Arsenal,Everton,"60,176",Emirates Stadium,Craig Pawson,Match Report,
16,Sat,14/12/2024,15:00,Wolves,Ipswich Town,"30,866",Molineux Stadium,Simon Hooper,Match Report,
16,Sat,14/12/2024,15:00,Liverpool,Fulham,,Anfield,Tony Harrington,Match Report,
16,Sat,14/12/2024,17:30,Nott'ham Forest,Aston Villa,"30,117",The City Ground,Samuel Barrott,Match Report,
16,Sun,15/12/2024,14:00,Brighton,Crystal Palace,"30,893",The American Express Stadium,Michael Oliver,Match Report,
16,Sun,15/12/2024,16:30,Manchester City,Manchester Utd,,Etihad Stadium,Anthony Taylor,Match Report,
16,Sun,15/12/2024,19:00,Southampton,Tottenham,,St Mary's Stadium,Darren England,Match Report,
16,Sun,15/12/2024,19:00,Chelsea,Brentford,,Stamford Bridge,Peter Bankes,Match Report,
16,Mon,16/12/2024,20:00,Bournemouth,West Ham,,Vitality Stadium,,Head-to-Head,
