Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
38,Sun,25/05/2025,16:00,Manchester Utd,Aston Villa,"73,839",Old Trafford,Thomas Bramall,Match Report,
38,Sun,25/05/2025,16:00,Ipswich Town,West Ham,"29,771",Portman Road Stadium,Tim Robinson,Match Report,
38,Sun,25/05/2025,16:00,Wolves,Brentford,"31,382",Molineux Stadium,Craig Pawson,Match Report,
38,Sun,25/05/2025,16:00,Southampton,Arsenal,"31,289",St Mary's Stadium,Darren Bond,Match Report,
38,Sun,25/05/2025,16:00,Liverpool,Crystal Palace,"60,382",Anfield,Darren England,Match Report,
38,Sun,25/05/2025,16:00,Nott'ham Forest,Chelsea,"30,263",The City Ground,Anthony Taylor,Match Report,
38,Sun,25/05/2025,16:00,Fulham,Manchester City,"27,671",Craven Cottage,Andy Madley,Match Report,
38,Sun,25/05/2025,16:00,Newcastle Utd,Everton,"52,221",St James' Park,Tony Harrington,Match Report,
38,Sun,25/05/2025,16:00,Bournemouth,Leicester City,"11,238",Vitality Stadium,Lewis Smith,Match Report,
38,Sun,25/05/2025,16:00,Tottenham,Brighton,"61,449",Tottenham Hotspur Stadium,Robert Jones,Match Report,
