Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
10,Sat,02/11/2024,12:30,Newcastle Utd,Arsenal,"52,249",St James' Park,John Brooks,Match Report,
10,Sat,02/11/2024,15:00,Southampton,Everton,"31,143",St Mary's Stadium,Andy Madley,Match Report,
10,Sat,02/11/2024,15:00,Liverpool,Brighton,"60,331",Anfield,Tony Harrington,Match Report,
10,Sat,02/11/2024,15:00,Nott'ham Forest,West Ham,"30,112",The City Ground,Peter Bankes,Match Report,
10,Sat,02/11/2024,15:00,Ipswich Town,Leicester City,"29,874",Portman Road Stadium,Tim Robinson,Match Report,
10,Sat,02/11/2024,15:00,Bournemouth,Manchester City,"11,231",Vitality Stadium,Michael Oliver,Match Report,
10,Sat,02/11/2024,17:30,Wolves,Crystal Palace,"31,124",Molineux Stadium,Anthony Taylor,Match Report,
10,Sun,03/11/2024,14:00,Tottenham,Aston Villa,"61,253",Tottenham Hotspur Stadium,Craig Pawson,Match Report,
10,Sun,03/11/2024,16:30,Manchester Utd,Chelsea,"73,813",Old Trafford,Robert Jones,Match Report,
10,Mon,04/11/2024,20:00,Fulham,Brentford,"24,931",Craven Cottage,Stuart Attwell,Match Report,
