Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
3,Sat,31/08/2024,12:30,Arsenal,Brighton,"60,326",Emirates Stadium,Chris Kavanagh,Match Report,
3,Sat,31/08/2024,15:00,Everton,Bournemouth,"38,805",Goodison Park,Stuart Attwell,Match Report,
3,Sat,31/08/2024,15:00,Leicester City,Aston Villa,"31,725",King Power Stadium,David Coote,Match Report,
3,Sat,31/08/2024,15:00,Nott'ham Forest,Wolves,"29,918",The City Ground,Simon Hooper,Match Report,
3,Sat,31/08/2024,15:00,Ipswich Town,Fulham,"29,517",Portman Road Stadium,Lewis Smith,Match Report,
3,Sat,31/08/2024,15:00,Brentford,Southampton,"16,955",Gtech Community Stadium,Joshua Smith,Match Report,
3,Sat,31/08/2024,17:30,West Ham,Manchester City,"62,469",London Stadium,Michael Oliver,Match Report,
3,Sun,01/09/2024,13:30,Newcastle Utd,Tottenham,"52,211",St James' Park,Robert Jones,Match Report,
3,Sun,01/09/2024,13:30,Chelsea,Crystal Palace,"39,298",Stamford Bridge,Jarred Gillett,Match Report,
3,Sun,01/09/2024,16:00,Manchester Utd,Liverpool,"73,738",Old Trafford,Anthony Taylor,Match Report,
