Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sat,05/10/2024,12:30,Crystal Palace,Liverpool,"25,185",Selhurst Park,Simon Hooper,Match Report,
7,Sat,05/10/2024,15:00,Manchester City,Fulham,,Etihad Stadium,Peter Bankes,Match Report,
7,Sat,05/10/2024,15:00,Brentford,Wolves,"16,960",Gtech Community Stadium,Andy Madley,Match Report,
7,Sat,05/10/2024,15:00,West Ham,Ipswich Town,,London Stadium,Anthony Taylor,Match Report,
7,Sat,05/10/2024,15:00,Arsenal,Southampton,"60,307",Emirates Stadium,Tony Harrington,Match Report,
7,Sat,05/10/2024,15:00,Leicester City,Bournemouth,"31,706",King Power Stadium,Darren Bond,Match Report,
7,Sat,05/10/2024,17:30,Everton,Newcastle Utd,"39,265",Goodison Park,Craig Pawson,Match Report,
7,Sun,06/10/2024,14:00,Aston Villa,Manchester Utd,,Villa Park,Robert Jones,Match Report,
7,Sun,06/10/2024,14:00,Chelsea,Nott'ham Forest,,Stamford Bridge,Chris Kavanagh,Match Report,
7,Sun,06/10/2024,16:30,Brighton,Tottenham,"31,487",The American Express Stadium,David Coote,Match Report,
