Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
21,Tue,14/01/2025,19:30,Brentford,Manchester City,"17,048",Gtech Community Stadium,Anthony Taylor,Match Report,
21,Tue,14/01/2025,19:30,West Ham,Fulham,"62,456",London Stadium,Craig Pawson,Match Report,
21,Tue,14/01/2025,19:30,Chelsea,Bournemouth,"39,092",Stamford Bridge,Robert Jones,Match Report,
21,Tue,14/01/2025,20:00,Nott'ham Forest,Liverpool,"30,249",The City Ground,Chris Kavanagh,Match Report,
21,Wed,15/01/2025,19:30,Everton,Aston Villa,"39,085",Goodison Park,Samuel Barrott,Match Report,
21,Wed,15/01/2025,19:30,Newcastle Utd,Wolves,"51,975",St James' Park,Darren England,Match Report,
21,Wed,15/01/2025,19:30,Leicester City,Crystal Palace,"29,766",King Power Stadium,Andy Madley,Match Report,
21,Wed,15/01/2025,20:00,Arsenal,Tottenham,"60,287",Emirates Stadium,Simon Hooper,Match Report,
21,Thu,16/01/2025,19:30,Ipswich Town,Brighton,"29,403",Portman Road Stadium,Tony Harrington,Match Report,
21,Thu,16/01/2025,20:00,Manchester Utd,Southampton,"73,722",Old Trafford,John Brooks,Match Report,
