Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
31,Tue,02/04/2024,19:30,Newcastle Utd,2.4,1–1,1.4,Everton,"52,135",St James' Park,Tony Harrington,Match Report,
31,Tue,02/04/2024,19:30,Nott'ham Forest,1.5,3–1,1.5,Fulham,"28,997",The City Ground,Michael Oliver,Match Report,
31,Tue,02/04/2024,19:45,Bournemouth,1.1,1–0,0.2,Crystal Palace,"11,058",Vitality Stadium,Graham Scott,Match Report,
31,Tue,02/04/2024,19:45,Burnley,1.3,1–1,0.9,Wolves,"21,528",Turf Moor,Thomas Bramall,Match Report,
31,Tue,02/04/2024,20:15,West Ham,1.5,1–1,1,Tottenham,"62,469",London Stadium,John Brooks,Match Report,
31,Wed,03/04/2024,19:30,Arsenal,0.7,2–0,0.3,Luton Town,"60,262",Emirates Stadium,Craig Pawson,Match Report,
31,Wed,03/04/2024,19:30,Brentford,0.6,0–0,1.1,Brighton,"17,024",Gtech Community Stadium,Andy Madley,Match Report,
31,Wed,03/04/2024,20:15,Manchester City,3.4,4–1,0.8,Aston Villa,"53,422",Etihad Stadium,Darren England,Match Report,
31,Thu,04/04/2024,19:30,Liverpool,1.8,3–1,0.6,Sheffield Utd,"60,055",Anfield,Stuart Attwell,Match Report,
31,Thu,04/04/2024,20:15,Chelsea,3,4–3,1.5,Manchester Utd,"39,694",Stamford Bridge,Jarred Gillett,Match Report,
