Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
25,Sat,17/02/2024,12:30,Brentford,1.6,1–4,2.8,Liverpool,"17,193",Gtech Community Stadium,Michael Oliver,Match Report,
25,Sat,17/02/2024,15:00,Newcastle Utd,2.2,2–2,2.2,Bournemouth,"52,224",St James' Park,Michael Salisbury,Match Report,
25,Sat,17/02/2024,15:00,Tottenham,1.6,1–2,1.8,Wolves,"61,532",Tottenham Hotspur Stadium,Anthony Taylor,Match Report,
25,Sat,17/02/2024,15:00,Burnley,0.3,0–5,2.3,Arsenal,"21,311",Turf Moor,Jarred Gillett,Match Report,
25,Sat,17/02/2024,15:00,Fulham,1.5,1–2,1.5,Aston Villa,"24,401",Craven Cottage,Lewis Smith,Match Report,
25,Sat,17/02/2024,15:00,Nott'ham Forest,2.8,2–0,0.5,West Ham,"29,490",The City Ground,Thomas Bramall,Match Report,
25,Sat,17/02/2024,17:30,Manchester City,2.6,1–1,1.4,Chelsea,"52,178",Etihad Stadium,Andy Madley,Match Report,
25,Sun,18/02/2024,14:00,Sheffield Utd,0.6,0–5,2.9,Brighton,"29,522",Bramall Lane,Stuart Attwell,Match Report,
25,Sun,18/02/2024,16:30,Luton Town,1.8,1–2,2.9,Manchester Utd,"11,483",Kenilworth Road Stadium,David Coote,Match Report,
25,Mon,19/02/2024,20:00,Everton,1.7,1–1,0.7,Crystal Palace,"38,164",Goodison Park,Paul Tierney,Match Report,
18,Tue,20/02/2024,19:30,Manchester City,2.3,1–0,0.4,Brentford,"52,247",Etihad Stadium,Darren England,Match Report,
