Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sat,25/11/2023,12:30,Manchester City,1.3,1–1,0.6,Liverpool,"53,289",Etihad Stadium,Chris Kavanagh,Match Report,
13,Sat,25/11/2023,15:00,Burnley,1.3,1–2,0.9,West Ham,"21,319",Turf Moor,Samuel Barrott,Match Report,
13,Sat,25/11/2023,15:00,Nott'ham Forest,1.9,2–3,1.5,Brighton,"29,404",The City Ground,Anthony Taylor,Match Report,
13,Sat,25/11/2023,15:00,Sheffield Utd,0.8,1–3,2.9,Bournemouth,"30,208",Bramall Lane,Andy Madley,Match Report,
13,Sat,25/11/2023,15:00,Newcastle Utd,2.4,4–1,0.5,Chelsea,"52,227",St James' Park,Simon Hooper,Match Report,
13,Sat,25/11/2023,15:00,Luton Town,0.9,2–1,1.6,Crystal Palace,"11,029",Kenilworth Road Stadium,Jarred Gillett,Match Report,
13,Sat,25/11/2023,17:30,Brentford,1.1,0–1,1.6,Arsenal,"17,201",Gtech Community Stadium,Tim Robinson,Match Report,
3,Sun,26/11/2023,14:00,Tottenham,2.3,1–2,1.7,Aston Villa,"61,679",Tottenham Hotspur Stadium,Robert Jones,Match Report,
13,Sun,26/11/2023,16:30,Everton,2.4,0–3,2.2,Manchester Utd,"39,257",Goodison Park,John Brooks,Match Report,
13,Mon,27/11/2023,20:00,Fulham,2.9,3–2,1.4,Wolves,"24,366",Craven Cottage,Michael Salisbury,Match Report,
