Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
14,Sat,02/12/2023,15:00,Brentford,3.1,3–1,0.2,Luton Town,"17,075",Gtech Community Stadium,Anthony Taylor,Match Report,
14,Sat,02/12/2023,15:00,Arsenal,2.8,2–1,0.7,Wolves,"60,262",Emirates Stadium,Peter Bankes,Match Report,
14,Sat,02/12/2023,15:00,Burnley,1.8,5–0,0.4,Sheffield Utd,"21,478",Turf Moor,Chris Kavanagh,Match Report,
14,Sat,02/12/2023,17:30,Nott'ham Forest,0.7,0–1,0.7,Everton,"29,404",The City Ground,Paul Tierney,Match Report,
14,Sat,02/12/2023,20:00,Newcastle Utd,2.4,1–0,0.5,Manchester Utd,"52,214",St James' Park,Robert Jones,Match Report,
14,Sun,03/12/2023,14:00,Bournemouth,2,2–2,0.7,Aston Villa,"11,191",Vitality Stadium,Thomas Bramall,Match Report,
14,Sun,03/12/2023,14:00,Liverpool,2.1,4–3,1.2,Fulham,"50,124",Anfield,Stuart Attwell,Match Report,
14,Sun,03/12/2023,14:00,Chelsea,2.1,3–2,1.1,Brighton,"39,647",Stamford Bridge,Craig Pawson,Match Report,
14,Sun,03/12/2023,14:00,West Ham,1.1,1–1,0.9,Crystal Palace,"62,414",London Stadium,Michael Oliver,Match Report,
14,Sun,03/12/2023,16:30,Manchester City,2.6,3–3,0.5,Tottenham,"53,473",Etihad Stadium,Simon Hooper,Match Report,
