Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
9,Sat,21/10/2023,12:30,Liverpool,2.2,2–0,0.1,Everton,"50,201",Anfield,Craig Pawson,Match Report,
9,Sat,21/10/2023,15:00,Bournemouth,0.6,1–2,2.4,Wolves,"11,175",Vitality Stadium,Paul Tierney,Match Report,
9,Sat,21/10/2023,15:00,Newcastle Utd,2.4,4–0,1.2,Crystal Palace,"52,189",St James' Park,Tim Robinson,Match Report,
9,Sat,21/10/2023,15:00,Brentford,3.1,3–0,1.1,Burnley,"17,029",Gtech Community Stadium,Joshua Smith,Match Report,
9,Sat,21/10/2023,15:00,Manchester City,0.8,2–1,0.8,Brighton,"53,466",Etihad Stadium,Robert Jones,Match Report,
9,Sat,21/10/2023,15:00,Nott'ham Forest,2.9,2–2,1.7,Luton Town,"29,361",The City Ground,Samuel Barrott,Match Report,
9,Sat,21/10/2023,17:30,Chelsea,1.3,2–2,1,Arsenal,"39,723",Stamford Bridge,Chris Kavanagh,Match Report,
9,Sat,21/10/2023,20:00,Sheffield Utd,1.4,1–2,1.1,Manchester Utd,"31,543",Bramall Lane,Michael Oliver,Match Report,
9,Sun,22/10/2023,16:30,Aston Villa,1.9,4–1,1.1,West Ham,"41,734",Villa Park,David Coote,Match Report,
9,Mon,23/10/2023,20:00,Tottenham,1.5,2–0,1,Fulham,"61,286",Tottenham Hotspur Stadium,Anthony Taylor,Match Report,
