Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
11,Sat,09/11/2024,15:00,Brentford,1.5,3–2,2.6,Bournemouth,"16,587",Gtech Community Stadium,Darren Bond,Match Report,
11,Sat,09/11/2024,15:00,West Ham,0.8,0–0,1.1,Everton,"62,463",London Stadium,Stuart Attwell,Match Report,
11,Sat,09/11/2024,15:00,Crystal Palace,1.5,0–2,1.8,Fulham,"25,142",Selhurst Park,Michael Salisbury,Match Report,
11,Sat,09/11/2024,15:00,Wolves,1.3,2–0,0.6,Southampton,"31,403",Molineux Stadium,Thomas Bramall,Match Report,
11,Sat,09/11/2024,17:30,Brighton,2.3,2–1,2.1,Manchester City,"31,715",The American Express Stadium,Samuel Barrott,Match Report,
11,Sat,09/11/2024,20:00,Liverpool,2,2–0,1.2,Aston Villa,"60,292",Anfield,David Coote,Match Report,
11,Sun,10/11/2024,14:00,Manchester Utd,0.8,3–0,0.6,Leicester City,"73,829",Old Trafford,Peter Bankes,Match Report,
11,Sun,10/11/2024,14:00,Nott'ham Forest,0.6,1–3,1.6,Newcastle Utd,"30,145",The City Ground,Anthony Taylor,Match Report,
11,Sun,10/11/2024,14:00,Tottenham,1.5,1–2,1.6,Ipswich Town,"61,505",Tottenham Hotspur Stadium,Darren England,Match Report,
11,Sun,10/11/2024,16:30,Chelsea,1.5,1–1,1.5,Arsenal,"39,780",Stamford Bridge,Michael Oliver,Match Report,
