Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
27,Tue,25/02/2025,19:30,Crystal Palace,4.3,4–1,0.4,Aston Villa,"24,712",Selhurst Park,Samuel Barrott,Match Report,
27,Tue,25/02/2025,19:30,Wolves,1.3,1–2,1.7,Fulham,"28,708",Molineux Stadium,Peter Bankes,Match Report,
27,Tue,25/02/2025,19:30,Brighton,2.4,2–1,1.5,Bournemouth,"31,138",The American Express Stadium,Michael Oliver,Match Report,
27,Tue,25/02/2025,20:15,Chelsea,2.4,4–0,0.7,Southampton,"39,485",Stamford Bridge,Thomas Bramall,Match Report,
27,Wed,26/02/2025,19:30,Brentford,1.4,1–1,1.5,Everton,"17,082",Gtech Community Stadium,Simon Hooper,Match Report,
27,Wed,26/02/2025,19:30,Tottenham,1.3,0–1,2.1,Manchester City,"60,820",Tottenham Hotspur Stadium,Jarred Gillett,Match Report,
27,Wed,26/02/2025,19:30,Manchester Utd,0.7,3–2,1.4,Ipswich Town,"73,827",Old Trafford,Darren England,Match Report,
27,Wed,26/02/2025,19:30,Nott'ham Forest,0.4,0–0,1,Arsenal,"30,200",The City Ground,Andy Madley,Match Report,
27,Wed,26/02/2025,20:15,Liverpool,1.7,2–0,0.2,Newcastle Utd,"60,374",Anfield,Stuart Attwell,Match Report,
27,Thu,27/02/2025,20:00,West Ham,1.3,2–0,0.4,Leicester City,"62,455",London Stadium,Anthony Taylor,Match Report,
