Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
18,Thu,26/12/2024,12:30,Manchester City,2.1,1–1,0.7,Everton,,Etihad Stadium,Simon Hooper,Match Report,
18,Thu,26/12/2024,15:00,Chelsea,1.1,1–2,1.8,Fulham,,Stamford Bridge,Samuel Barrott,Match Report,
18,Thu,26/12/2024,15:00,Southampton,1.4,0–1,1.7,West Ham,"31,059",St Mary's Stadium,Lewis Smith,Match Report,
18,Thu,26/12/2024,15:00,Bournemouth,1.4,0–0,0.4,Crystal Palace,"11,129",Vitality Stadium,Thomas Bramall,Match Report,
18,Thu,26/12/2024,15:00,Newcastle Utd,2.7,3–0,0.3,Aston Villa,"52,168",St James' Park,Anthony Taylor,Match Report,
18,Thu,26/12/2024,15:00,Nott'ham Forest,1.1,1–0,0.9,Tottenham,"30,200",The City Ground,Craig Pawson,Match Report,
18,Thu,26/12/2024,17:30,Wolves,0.9,2–0,0.4,Manchester Utd,,Molineux Stadium,Tony Harrington,Match Report,
18,Thu,26/12/2024,20:00,Liverpool,2,3–1,0.3,Leicester City,"60,300",Anfield,Darren Bond,Match Report,
18,Fri,27/12/2024,19:30,Brighton,1.3,0–0,1.1,Brentford,"31,548",The American Express Stadium,Andy Madley,Match Report,
18,Fri,27/12/2024,20:15,Arsenal,1.8,1–0,0.2,Ipswich Town,,Emirates Stadium,Darren England,Match Report,
