Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
28,Sat,08/03/2025,12:30,Nott'ham Forest,0.7,1–0,0.9,Manchester City,"30,252",The City Ground,Chris Kavanagh,Match Report,
28,Sat,08/03/2025,15:00,Liverpool,3.9,3–1,0.4,Southampton,"60,399",Anfield,Lewis Smith,Match Report,
28,Sat,08/03/2025,15:00,Brighton,1.5,2–1,0.9,Fulham,"31,584",The American Express Stadium,Samuel Barrott,Match Report,
28,Sat,08/03/2025,15:00,Crystal Palace,3.2,1–0,1.5,Ipswich Town,"25,155",Selhurst Park,Simon Hooper,Match Report,
28,Sat,08/03/2025,17:30,Brentford,0.8,0–1,1.3,Aston Villa,"17,171",Gtech Community Stadium,Jarred Gillett,Match Report,
28,Sat,08/03/2025,20:00,Wolves,0.8,1–1,1.2,Everton,"30,738",Molineux Stadium,Stuart Attwell,Match Report,
28,Sun,09/03/2025,14:00,Chelsea,1.7,1–0,0.1,Leicester City,"39,750",Stamford Bridge,Tim Robinson,Match Report,
28,Sun,09/03/2025,14:00,Tottenham,1.5,2–2,2.2,Bournemouth,"61,178",Tottenham Hotspur Stadium,John Brooks,Match Report,
28,Sun,09/03/2025,16:30,Manchester Utd,1.5,1–1,1.6,Arsenal,"73,812",Old Trafford,Anthony Taylor,Match Report,
28,Mon,10/03/2025,20:00,West Ham,0.7,0–1,1.4,Newcastle Utd,"62,463",London Stadium,Michael Salisbury,Match Report,
