Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,23/11/2024,12:30,Leicester City,1.1,1–2,2.7,Chelsea,"31,880",King Power Stadium,Andy Madley,Match Report,
12,Sat,23/11/2024,15:00,Arsenal,1.2,3–0,0.3,Nott'ham Forest,"60,298",Emirates Stadium,Simon Hooper,Match Report,
12,Sat,23/11/2024,15:00,Bournemouth,1.6,1–2,0.9,Brighton,"11,196",Vitality Stadium,Stuart Attwell,Match Report,
12,Sat,23/11/2024,15:00,Aston Villa,3,2–2,1.3,Crystal Palace,"42,175",Villa Park,Tim Robinson,Match Report,
12,Sat,23/11/2024,15:00,Everton,1.2,0–0,1.1,Brentford,"38,915",Goodison Park,Chris Kavanagh,Match Report,
12,Sat,23/11/2024,15:00,Fulham,1,1–4,1.3,Wolves,"26,685",Craven Cottage,Robert Jones,Match Report,
12,Sat,23/11/2024,17:30,Manchester City,2.1,0–4,2.5,Tottenham,"52,478",Etihad Stadium,John Brooks,Match Report,
12,Sun,24/11/2024,14:00,Southampton,1.3,2–3,3.1,Liverpool,"31,278",St Mary's Stadium,Samuel Barrott,Match Report,
12,Sun,24/11/2024,16:30,Ipswich Town,1.6,1–1,0.8,Manchester Utd,"30,017",Portman Road Stadium,Anthony Taylor,Match Report,
12,Mon,25/11/2024,20:00,Newcastle Utd,1.6,0–2,0.9,West Ham,"52,094",St James' Park,Craig Pawson,Match Report,
