Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
19,Sun,29/12/2024,14:30,Leicester City,1.3,0–2,1.3,Manchester City,,King Power Stadium,Michael Oliver,Match Report,
19,Sun,29/12/2024,15:00,Tottenham,2.2,2–2,0.7,Wolves,"61,284",Tottenham Hotspur Stadium,Chris Kavanagh,Match Report,
19,Sun,29/12/2024,15:00,Fulham,1.1,2–2,2,Bournemouth,,Craven Cottage,Robert Jones,Match Report,
19,Sun,29/12/2024,15:00,Everton,0.9,0–2,1.5,Nott'ham Forest,,Goodison Park,Tony Harrington,Match Report,
19,Sun,29/12/2024,15:00,Crystal Palace,2,2–1,0.9,Southampton,"25,130",Selhurst Park,Michael Salisbury,Match Report,
19,Sun,29/12/2024,17:15,West Ham,0.4,0–5,3.1,Liverpool,,London Stadium,Anthony Taylor,Match Report,
19,Mon,30/12/2024,19:45,Aston Villa,1.8,2–2,1.1,Brighton,"41,414",Villa Park,Craig Pawson,Match Report,
19,Mon,30/12/2024,19:45,Ipswich Town,1.6,2–0,2,Chelsea,"29,968",Portman Road Stadium,John Brooks,Match Report,
19,Mon,30/12/2024,20:00,Manchester Utd,0.8,0–2,1.9,Newcastle Utd,"73,809",Old Trafford,Simon Hooper,Match Report,
19,Wed,01/01/2025,17:30,Brentford,0.3,1–3,2,Arsenal,,Gtech Community Stadium,,Head-to-Head,
