Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
30,Tue,01/04/2025,19:45,Arsenal,2.2,2–1,1,Fulham,"60,256",Emirates Stadium,John Brooks,Match Report,
30,Tue,01/04/2025,19:45,Wolves,1.2,1–0,1.3,West Ham,"29,587",Molineux Stadium,Tony Harrington,Match Report,
30,Tue,01/04/2025,20:00,Nott'ham Forest,0.5,1–0,1.6,Manchester Utd,"30,249",The City Ground,Jarred Gillett,Match Report,
30,Wed,02/04/2025,19:45,Newcastle Utd,1.3,2–1,1.5,Brentford,"52,021",St James' Park,Peter Bankes,Match Report,
30,Wed,02/04/2025,19:45,Manchester City,2.2,2–0,0.1,Leicester City,"52,148",Etihad Stadium,Darren England,Match Report,
30,Wed,02/04/2025,19:45,Southampton,0.7,1–1,0.7,Crystal Palace,"30,158",St Mary's Stadium,Andy Madley,Match Report,
30,Wed,02/04/2025,19:45,Bournemouth,1.8,1–2,1.2,Ipswich Town,"11,192",Vitality Stadium,Robert Jones,Match Report,
30,Wed,02/04/2025,19:45,Brighton,0.9,0–3,1.2,Aston Villa,"27,895",The American Express Stadium,Stuart Attwell,Match Report,
30,Wed,02/04/2025,20:00,Liverpool,1.5,1–0,0.9,Everton,"60,457",Anfield,Samuel Barrott,Match Report,
30,Thu,03/04/2025,20:00,Chelsea,1,1–0,0.9,Tottenham,,Stamford Bridge,Craig Pawson,Match Report,
