Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sat,28/09/2024,12:30,Newcastle Utd,1.6,1–1,0.9,Manchester City,"52,248",St James' Park,Jarred Gillett,Match Report,
6,Sat,28/09/2024,15:00,Chelsea,4.2,4–2,1.1,Brighton,"39,495",Stamford Bridge,Peter Bankes,Match Report,
6,Sat,28/09/2024,15:00,Arsenal,4.4,4–2,0.3,Leicester City,"60,323",Emirates Stadium,Samuel Barrott,Match Report,
6,Sat,28/09/2024,15:00,Brentford,0.4,1–1,1,West Ham,"17,050",Gtech Community Stadium,Simon Hooper,Match Report,
6,Sat,28/09/2024,15:00,Everton,0.9,2–1,0.9,Crystal Palace,"38,954",Goodison Park,Andy Madley,Match Report,
6,Sat,28/09/2024,15:00,Nott'ham Forest,0.8,0–1,1.3,Fulham,"30,139",The City Ground,Joshua Smith,Match Report,
6,Sat,28/09/2024,17:30,Wolves,0.6,1–2,2.5,Liverpool,"31,413",Molineux Stadium,Anthony Taylor,Match Report,
6,Sun,29/09/2024,14:00,Ipswich Town,1.2,2–2,0.8,Aston Villa,"29,943",Portman Road Stadium,Stuart Attwell,Match Report,
6,Sun,29/09/2024,16:30,Manchester Utd,1,0–3,4.4,Tottenham,"73,587",Old Trafford,Chris Kavanagh,Match Report,
6,Mon,30/09/2024,20:00,Bournemouth,1.3,3–1,0.6,Southampton,"11,243",Vitality Stadium,Michael Oliver,Match Report,
