Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
24,Sat,01/02/2025,12:30,Nott'ham Forest,3.3,7–0,0.9,Brighton,"30,164",The City Ground,Simon Hooper,Match Report,
24,Sat,01/02/2025,15:00,Ipswich Town,1.8,1–2,0.9,Southampton,"29,902",Portman Road Stadium,Michael Oliver,Match Report,
24,Sat,01/02/2025,15:00,Everton,2.5,4–0,0.3,Leicester City,"39,376",Goodison Park,Darren Bond,Match Report,
24,Sat,01/02/2025,15:00,Newcastle Utd,0.8,1–2,1.6,Fulham,"52,173",St James' Park,Chris Kavanagh,Match Report,
24,Sat,01/02/2025,15:00,Bournemouth,1.6,0–2,2.5,Liverpool,"11,239",Vitality Stadium,Darren England,Match Report,
24,Sat,01/02/2025,17:30,Wolves,1.6,2–0,0.4,Aston Villa,"31,385",Molineux Stadium,Andy Madley,Match Report,
24,Sun,02/02/2025,14:00,Brentford,2.1,0–2,0.8,Tottenham,"17,154",Gtech Community Stadium,Jarred Gillett,Match Report,
24,Sun,02/02/2025,14:00,Manchester Utd,1.1,0–2,2.6,Crystal Palace,"73,751",Old Trafford,John Brooks,Match Report,
24,Sun,02/02/2025,16:30,Arsenal,1,5–1,0.8,Manchester City,"60,355",Emirates Stadium,Peter Bankes,Match Report,
24,Mon,03/02/2025,20:00,Chelsea,1.6,2–1,1.2,West Ham,"39,459",Stamford Bridge,Stuart Attwell,Match Report,
15,Wed,12/02/2025,19:30,Everton,1,2–2,0.6,Liverpool,"39,280",Goodison Park,Michael Oliver,Match Report,
