Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
22,Sat,18/01/2025,12:30,Newcastle Utd,0.8,1–4,2,Bournemouth,"52,227",St James' Park,Stuart Attwell,Match Report,
22,Sat,18/01/2025,15:00,West Ham,0.3,0–2,1.3,Crystal Palace,"62,469",London Stadium,Thomas Bramall,Match Report,
22,Sat,18/01/2025,15:00,Brentford,0.7,0–2,3.4,Liverpool,"17,215",Gtech Community Stadium,Andy Madley,Match Report,
22,Sat,18/01/2025,15:00,Leicester City,0.6,0–2,2,Fulham,"31,500",King Power Stadium,Michael Salisbury,Match Report,
22,Sat,18/01/2025,17:30,Arsenal,1.3,2–2,1,Aston Villa,"60,067",Emirates Stadium,Chris Kavanagh,Match Report,
22,Sun,19/01/2025,14:00,Manchester Utd,1.5,1–3,1.9,Brighton,"73,758",Old Trafford,Peter Bankes,Match Report,
22,Sun,19/01/2025,14:00,Nott'ham Forest,1.8,3–2,0.9,Southampton,"30,180",The City Ground,Anthony Taylor,Match Report,
22,Sun,19/01/2025,14:00,Everton,1.8,3–2,1.1,Tottenham,"39,326",Goodison Park,Darren England,Match Report,
22,Sun,19/01/2025,16:30,Ipswich Town,0.5,0–6,3,Manchester City,"29,841",Portman Road Stadium,Samuel Barrott,Match Report,
22,Mon,20/01/2025,20:00,Chelsea,3.1,3–1,0.8,Wolves,"39,221",Stamford Bridge,Simon Hooper,Match Report,
