Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
19,Tue,26/12/2023,12:30,Newcastle Utd,2.4,1–3,3.5,Nott'ham Forest,"52,207",St James' Park,Chris Kavanagh,Match Report,
19,Tue,26/12/2023,15:00,Bournemouth,1.8,3–0,0.3,Fulham,"11,099",Vitality Stadium,Tim Robinson,Match Report,
19,Tue,26/12/2023,15:00,Sheffield Utd,2.4,2–3,0.6,Luton Town,"31,041",Bramall Lane,Samuel Allison,Match Report,
19,Tue,26/12/2023,17:30,Burnley,0.8,0–2,1.8,Liverpool,"21,624",Turf Moor,Paul Tierney,Match Report,
19,Tue,26/12/2023,20:00,Manchester Utd,1.1,3–2,1.7,Aston Villa,"73,574",Old Trafford,Craig Pawson,Match Report,
19,Wed,27/12/2023,19:30,Chelsea,2.6,2–1,1.1,Crystal Palace,"39,618",Stamford Bridge,Michael Salisbury,Match Report,
19,Wed,27/12/2023,19:30,Brentford,2.2,1–4,2.4,Wolves,"17,109",Gtech Community Stadium,Andy Madley,Match Report,
19,Wed,27/12/2023,20:15,Everton,1,1–3,2.4,Manchester City,"39,327",Goodison Park,John Brooks,Match Report,
19,Thu,28/12/2023,19:30,Brighton,3.4,4–2,2.5,Tottenham,"31,675",The American Express Community Stadium,Jarred Gillett,Match Report,
19,Thu,28/12/2023,20:15,Arsenal,2.6,0–2,1.5,West Ham,"60,261",Emirates Stadium,Michael Oliver,Match Report,
