Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
33,Sat,13/04/2024,12:30,Newcastle Utd,2.8,4–0,0.8,Tottenham,"52,147",St James' Park,Tim Robinson,Match Report,
33,Sat,13/04/2024,15:00,Manchester City,4.2,5–1,0.5,Luton Town,"52,149",Etihad Stadium,John Brooks,Match Report,
33,Sat,13/04/2024,15:00,Nott'ham Forest,1.9,2–2,1,Wolves,"29,604",The City Ground,Craig Pawson,Match Report,
33,Sat,13/04/2024,15:00,Brentford,1,2–0,0.8,Sheffield Utd,"17,115",Gtech Community Stadium,Samuel Barrott,Match Report,
33,Sat,13/04/2024,15:00,Burnley,1.7,1–1,0.9,Brighton,"20,687",Turf Moor,Simon Hooper,Match Report,
33,Sat,13/04/2024,17:30,Bournemouth,1.6,2–2,1.2,Manchester Utd,"11,229",Vitality Stadium,Tony Harrington,Match Report,
33,Sun,14/04/2024,14:00,Liverpool,2.7,0–1,2,Crystal Palace,"60,090",Anfield,Chris Kavanagh,Match Report,
33,Sun,14/04/2024,14:00,West Ham,0.9,0–2,3.2,Fulham,"62,459",London Stadium,Stuart Attwell,Match Report,
33,Sun,14/04/2024,16:30,Arsenal,1.6,0–2,0.9,Aston Villa,"60,350",Emirates Stadium,David Coote,Match Report,
33,Mon,15/04/2024,20:00,Chelsea,3.1,6–0,1.5,Everton,"39,392",Stamford Bridge,Paul Tierney,Match Report,
