Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
22,Tue,30/01/2024,19:30,Nott'ham Forest,0.5,1–2,1.2,Arsenal,"29,387",The City Ground,Simon Hooper,Match Report,
22,Tue,30/01/2024,19:45,Fulham,1.6,0–0,1.9,Everton,"24,376",Craven Cottage,Thomas Bramall,Match Report,
22,Tue,30/01/2024,19:45,Luton Town,3.1,4–0,0.9,Brighton,"10,994",Kenilworth Road Stadium,Robert Jones,Match Report,
22,Tue,30/01/2024,20:00,Crystal Palace,1.1,3–2,0.8,Sheffield Utd,"24,781",Selhurst Park,Tony Harrington,Match Report,
22,Tue,30/01/2024,20:15,Aston Villa,1.4,1–3,2.6,Newcastle Utd,"42,191",Villa Park,John Brooks,Match Report,
22,Wed,31/01/2024,19:30,Tottenham,2.9,3–2,1.6,Brentford,"61,210",Tottenham Hotspur Stadium,David Coote,Match Report,
22,Wed,31/01/2024,19:30,Manchester City,1.7,3–1,1.4,Burnley,"52,143",Etihad Stadium,Samuel Barrott,Match Report,
22,Wed,31/01/2024,20:15,Liverpool,2.9,4–1,0.6,Chelsea,"57,524",Anfield,Paul Tierney,Match Report,
22,Thu,01/02/2024,19:30,West Ham,1.4,1–1,1.2,Bournemouth,"62,478",London Stadium,Tim Robinson,Match Report,
22,Thu,01/02/2024,20:15,Wolves,2.1,3–4,3.3,Manchester Utd,"31,641",Molineux Stadium,Jarred Gillett,Match Report,
