Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
34,Sat,20/04/2024,15:00,Luton Town,0.6,1–5,3.1,Brentford,"11,877",Kenilworth Road Stadium,Jarred Gillett,Match Report,
34,Sat,20/04/2024,15:00,Sheffield Utd,2.4,1–4,2.2,Burnley,"28,964",Bramall Lane,Andy Madley,Match Report,
34,Sat,20/04/2024,19:30,Wolves,0.2,0–2,1.2,Arsenal,"31,621",Molineux Stadium,Paul Tierney,Match Report,
34,Sun,21/04/2024,13:30,Everton,0.3,2–0,0.9,Nott'ham Forest,"39,239",Goodison Park,Anthony Taylor,Match Report,
34,Sun,21/04/2024,15:00,Aston Villa,2.4,3–1,1.8,Bournemouth,"42,189",Villa Park,Tim Robinson,Match Report,
34,Sun,21/04/2024,15:00,Crystal Palace,2.4,5–2,1.3,West Ham,"25,145",Selhurst Park,Graham Scott,Match Report,
34,Sun,21/04/2024,16:30,Fulham,0.8,1–3,1,Liverpool,"24,414",Craven Cottage,Craig Pawson,Match Report,
29,Tue,23/04/2024,20:00,Arsenal,3.3,5–0,1.6,Chelsea,"60,238",Emirates Stadium,Simon Hooper,Match Report,
29,Wed,24/04/2024,19:45,Wolves,0.5,0–1,1.9,Bournemouth,"25,541",Molineux Stadium,Stuart Attwell,Match Report,
29,Wed,24/04/2024,20:00,Manchester Utd,2.9,4–2,0.8,Sheffield Utd,"73,549",Old Trafford,Michael Salisbury,Match Report,
29,Wed,24/04/2024,20:00,Everton,1.2,2–0,2.1,Liverpool,"38,222",Goodison Park,Andy Madley,Match Report,
29,Wed,24/04/2024,20:00,Crystal Palace,0.9,2–0,0.4,Newcastle Utd,"25,002",Selhurst Park,Thomas Bramall,Match Report,
29,Thu,25/04/2024,20:00,Brighton,0.6,0–4,1.4,Manchester City,"31,596",The American Express Community Stadium,Jarred Gillett,Match Report,
