Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
27,Sat,02/03/2024,15:00,Fulham,1.3,3–0,1.3,Brighton,"24,460",Craven Cottage,Simon Hooper,Match Report,
27,Sat,02/03/2024,15:00,Tottenham,1.9,3–1,0.3,Crystal Palace,"61,339",Tottenham Hotspur Stadium,John Brooks,Match Report,
27,Sat,02/03/2024,15:00,Brentford,1.8,2–2,1.8,Chelsea,"17,140",Gtech Community Stadium,Jarred Gillett,Match Report,
27,Sat,02/03/2024,15:00,Newcastle Utd,2.1,3–0,0.8,Wolves,"52,206",St James' Park,Tim Robinson,Match Report,
27,Sat,02/03/2024,15:00,Nott'ham Forest,1,0–1,2,Liverpool,"29,603",The City Ground,Paul Tierney,Match Report,
27,Sat,02/03/2024,15:00,Everton,2.7,1–3,1.9,West Ham,"39,262",Goodison Park,Craig Pawson,Match Report,
27,Sat,02/03/2024,17:30,Luton Town,1.8,2–3,1.9,Aston Villa,"11,594",Kenilworth Road Stadium,Michael Oliver,Match Report,
27,Sun,03/03/2024,13:00,Burnley,1.5,0–2,1.1,Bournemouth,"19,713",Turf Moor,David Coote,Match Report,
27,Sun,03/03/2024,15:30,Manchester City,3.3,3–1,0.2,Manchester Utd,"53,514",Etihad Stadium,Andy Madley,Match Report,
27,Mon,04/03/2024,20:00,Sheffield Utd,0.2,0–6,2.3,Arsenal,"29,157",Bramall Lane,Samuel Barrott,Match Report,
