Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
21,Fri,12/01/2024,19:45,Burnley,1.1,1–1,0.9,Luton Town,"20,155",Turf Moor,Tony Harrington,Match Report,
1,Sat,13/01/2024,12:30,Chelsea,2.2,1–0,0.8,Fulham,"39,643",Stamford Bridge,Anthony Taylor,Match Report,
21,Sat,13/01/2024,17:30,Newcastle Utd,1.3,2–3,3,Manchester City,"52,190",St James' Park,Chris Kavanagh,Match Report,
21,Sun,14/01/2024,14:00,Everton,1.1,0–0,1.2,Aston Villa,"39,284",Goodison Park,David Coote,Match Report,
21,Sun,14/01/2024,16:30,Manchester Utd,0.8,2–2,1.2,Tottenham,"73,489",Old Trafford,John Brooks,Match Report,
21,Sat,20/01/2024,12:30,Arsenal,3.3,5–0,0.3,Crystal Palace,"60,284",Emirates Stadium,Paul Tierney,Match Report,
21,Sat,20/01/2024,17:30,Brentford,1.2,3–2,1.2,Nott'ham Forest,"17,077",Gtech Community Stadium,Darren England,Match Report,
21,Sun,21/01/2024,14:00,Sheffield Utd,2.5,2–2,2.3,West Ham,"29,164",Bramall Lane,Michael Salisbury,Match Report,
21,Sun,21/01/2024,16:30,Bournemouth,1.4,0–4,1.5,Liverpool,"11,228",Vitality Stadium,Andy Madley,Match Report,
21,Mon,22/01/2024,19:45,Brighton,1,0–0,1.1,Wolves,"41,505",The American Express Community Stadium,Craig Pawson,Match Report,
