Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
35,Sat,27/04/2024,12:30,West Ham,0.7,2–2,1.7,Liverpool,"62,474",London Stadium,Anthony Taylor,Match Report,
35,Sat,27/04/2024,15:00,Wolves,1.2,2–1,0.6,Luton Town,"31,531",Molineux Stadium,David Coote,Match Report,
35,Sat,27/04/2024,15:00,Fulham,1.1,1–1,1,Crystal Palace,"24,142",Craven Cottage,Stuart Attwell,Match Report,
35,Sat,27/04/2024,15:00,Manchester Utd,2.7,1–1,2.1,Burnley,"73,571",Old Trafford,John Brooks,Match Report,
35,Sat,27/04/2024,15:00,Newcastle Utd,3.1,5–1,1.5,Sheffield Utd,"52,196",St James' Park,Tony Harrington,Match Report,
35,Sat,27/04/2024,17:30,Everton,0.8,1–0,0.9,Brentford,"39,098",Goodison Park,Darren England,Match Report,
35,Sat,27/04/2024,20:00,Aston Villa,1.1,2–2,1.6,Chelsea,"42,354",Villa Park,Craig Pawson,Match Report,
35,Sun,28/04/2024,14:00,Tottenham,2.3,2–3,1,Arsenal,"61,554",Tottenham Hotspur Stadium,Michael Oliver,Match Report,
35,Sun,28/04/2024,14:00,Bournemouth,1.9,3–0,0.9,Brighton,"11,188",Vitality Stadium,Paul Tierney,Match Report,
35,Sun,28/04/2024,16:30,Nott'ham Forest,1.9,0–2,0.9,Manchester City,"29,677",The City Ground,Simon Hooper,Match Report,
26,Thu,02/05/2024,19:30,Chelsea,2.2,2–0,1.6,Tottenham,"39,086",Stamford Bridge,Robert Jones,Match Report,
