Wk,Day,Date,Time,Home,Away,Attendance,Venue,Referee,Match Report,Notes
3,Sat,30/08/2025,12:30,Chelsea,Fulham,"39,745",Stamford Bridge,Robert Jones,Match Report,
3,Sat,30/08/2025,15:00,Sunderland,Brentford,"46,267",Stadium of Light,Anthony Taylor,Match Report,
3,Sat,30/08/2025,15:00,Wolves,Everton,"30,271",Molineux Stadium,Michael Oliver,Match Report,
3,Sat,30/08/2025,15:00,Tottenham,Bournemouth,"61,250",Tottenham Hotspur Stadium,Simon Hooper,Match Report,
3,Sat,30/08/2025,15:00,Manchester Utd,Burnley,"74,257",Old Trafford,Samuel Barrott,Match Report,
3,Sat,30/08/2025,17:30,Leeds United,Newcastle Utd,"36,727",Elland Road,Peter Bankes,Match Report,
3,Sun,31/08/2025,14:00,Brighton,Manchester City,"31,485",The American Express Stadium,Darren England,Match Report,
3,Sun,31/08/2025,14:00,Nott'ham Forest,West Ham,"30,215",The City Ground,Craig Pawson,Match Report,
3,Sun,31/08/2025,16:30,Liverpool,Arsenal,"60,455",Anfield,Chris Kavanagh,Match Report,
3,Sun,31/08/2025,19:00,Aston Villa,Crystal Palace,"41,036",Villa Park,Stuart Attwell,Match Report,
